,cod_modelo_color,cod_color_code,des_agrup_color_eng,des_fabric,des_product_category,des_product_type,des_filename,des_product_family
51,57067887-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_57067887_99.jpg,T-shirt
52,57007710-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_57007710_99.jpg,Sweater
53,57059203-85,85.0,PINK,T-TRICOT,Tops,Sweater,2019_57059203_85.jpg,Sweater
54,57007709-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_57007709_99.jpg,Sweater
55,57057700-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2019_57057700_99.jpg,Footwear
56,47010422-99,99.0,GREY,P-PLANA,Tops,Shirt,2023_47010422_99.jpg,Shirt
57,47091297-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2023_47091297_99.jpg,Footwear
58,57090027-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Umbrella,2023_57090027_99.jpg,Gadgets
59,57050034-52,52.0,BLUE,J-JEANS,Tops,Top,2023_57050034_52.jpg,Tops
60,57022001-17,17.0,YELLOW,P-PLANA,Bottoms,Shorts,2023_57022001_17.jpg,Shorts
61,57002518-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Citybag,2023_57002518_99.jpg,Bags
62,57020256-88,88.0,PINK,K-CIRCULAR,Tops,Top,2023_57020256_88.jpg,Tops
63,57020151-07,7.0,WHITE,J-JEANS,Bottoms,Shorts,2023_57020151_07.jpg,Shorts
64,57000374-99,99.0,GREY,P-PLANA,Bottoms,Shorts,2023_57000374_99.jpg,Shorts
65,57072516-99,99.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57072516_99.jpg,Dresses
66,47028651-99,99.0,GREY,K-CIRCULAR,"Accesories, Swim and Intimate",Bikini top,2023_47028651_99.jpg,Swimwear
67,57094012-91,91.0,GREY,P-PLANA,Outerwear,Vest,2023_57094012_91.jpg,Vest
68,57092003-CU,33.33863275039746,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Wallet,2023_57092003_CU.jpg,Wallets & cases
69,57054422-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoulder bag,2023_57054422_08.jpg,Bags
70,57001067-02,2.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2023_57001067_02.jpg,T-shirt
72,57078266-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Skirt,2023_57078266_TM.jpg,Skirts
73,57007734-08,8.0,WHITE,T-TRICOT,Tops,Sweater,2023_57007734_08.jpg,Sweater
74,57007739-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2023_57007739_09.jpg,Sweater
75,57073821-70,70.0,RED,P-PLANA,Tops,Top,2023_57073821_70.jpg,Tops
76,57057740-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Beanie,2023_57057740_99.jpg,"Hats, scarves and gloves"
77,57096029-99,99.0,GREY,P-PLANA,Outerwear,Coat,2023_57096029_99.jpg,Coats
78,53030594-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53030594_08.jpg,Bags
79,53000588-TC,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_53000588_TC.jpg,Jeans
80,53030547-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Shorts,2019_53030547_TM.jpg,Shorts
81,53090804-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2019_53090804_99.jpg,Belts and Ties
82,53023714-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_53023714_99.jpg,Sweater
83,53050881-17,17.0,YELLOW,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53050881_17.jpg,Dresses
84,53083040-08,8.0,WHITE,T-TRICOT,Tops,Cardigan,2019_53083040_08.jpg,Cardigans
85,53050906-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2019_53050906_99.jpg,Trousers
86,53095015-43,43.0,GREEN,T-TRICOT,Tops,Sweater,2019_53095015_43.jpg,Sweater
87,53013754-PL,98.00999200639488,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Glasses,2019_53013754_PL.jpg,Glasses
88,51055745-TO,53.825949367088604,BLUE,J-JEANS,Tops,Shirt,2019_51055745_TO.jpg,Shirt
89,51015766-92,92.0,GREY,P-PLANA,Bottoms,Trousers,2019_51015766_92.jpg,Trousers
90,57044377-99,99.0,GREY,P-PLANA,Outerwear,Trenchcoat,2019_57044377_99.jpg,Trenchcoats
91,57067883-99,99.0,GREY,P-PLANA,Tops,Blouse,2019_57067883_99.jpg,Shirt
92,57044755-80,80.0,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57044755_80.jpg,Dresses
93,57045938-02,2.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_57045938_02.jpg,T-shirt
94,57049203-17,17.0,YELLOW,T-TRICOT,Tops,Cardigan,2019_57049203_17.jpg,Cardigans
95,57097696-37,37.0,BROWN,P-PLANA,Bottoms,Skirt,2019_57097696_37.jpg,Skirts
96,37010684-CU,33.33863275039746,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2022_37010684_CU.jpg,Footwear
97,47095844-02,2.0,WHITE,T-TRICOT,Bottoms,Skirt,2023_47095844_02.jpg,Skirts
98,47037825-CU,33.33863275039746,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2023_47037825_CU.jpg,Footwear
99,57050037-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2023_57050037_OR.jpg,Belts and Ties
100,57010726-88,88.0,PINK,P-PLANA,Tops,Blouse,2023_57010726_88.jpg,Shirt
101,47087132-08,8.0,WHITE,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_47087132_08.jpg,Dresses
102,57041028-83,83.0,PINK,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57041028_83.jpg,Dresses
103,57040305-01,1.0,WHITE,J-JEANS,Bottoms,Jeans,2023_57040305_01.jpg,Jeans
104,57050382-46,46.0,BLUE,P-PLANA,Tops,Top,2023_57050382_46.jpg,Tops
105,57015144-TN,98.00999200639488,GREY,J-JEANS,Bottoms,Jeans,2023_57015144_TN.jpg,Jeans
106,57010481-20,20.0,ORANGE,K-CIRCULAR,Tops,T-Shirt,2023_57010481_20.jpg,T-shirt
107,57065788-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2023_57065788_99.jpg,Belts and Ties
108,57050453-15,15.0,YELLOW,T-TRICOT,Tops,Top,2023_57050453_15.jpg,Tops
109,57094414-94,94.0,GREY,K-CIRCULAR,Tops,T-Shirt,2023_57094414_94.jpg,T-shirt
110,57005974-TO,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2023_57005974_TO.jpg,Jeans
111,57055983-99,99.0,GREY,P-PLANA,Tops,Shirt,2023_57055983_99.jpg,Shirt
112,57091502-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_57091502_OR.jpg,Jewellery
113,57094431-DI,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2023_57094431_DI.jpg,Jeans
114,57007771-03,3.0,WHITE,T-TRICOT,Tops,Sweater,2023_57007771_03.jpg,Sweater
115,57075812-85,85.0,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57075812_85.jpg,Dresses
116,57047760-56,56.0,BLUE,P-PLANA,Outerwear,Coat,2023_57047760_56.jpg,Coats
117,57028280-52,52.0,BLUE,K-CIRCULAR,Tops,T-Shirt,2023_57028280_52.jpg,T-shirt
118,43040692-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2019_43040692_OR.jpg,Jewellery
119,53070611-02,2.0,WHITE,P-PLANA,Tops,Blouse,2019_53070611_02.jpg,Shirt
120,53030677-32,32.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Glasses,2019_53030677_32.jpg,Glasses
121,51060677-08,8.0,WHITE,P-PLANA,Bottoms,Skirt,2019_51060677_08.jpg,Skirts
122,53060722-CU,33.33863275039746,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_53060722_CU.jpg,Footwear
123,53079062-05,5.0,WHITE,P-PLANA,Outerwear,Puffer coat,2019_53079062_05.jpg,Puffer coats
124,53080880-37,37.0,BROWN,T-TRICOT,Bottoms,Trousers,2019_53080880_37.jpg,Trousers
125,43077046-05,5.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Kerchief,2019_43077046_05.jpg,"Hats, scarves and gloves"
126,51003746-85,85.0,PINK,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2019_51003746_85.jpg,Dresses
127,53093047-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_53093047_99.jpg,Footwear
128,53091077-30,30.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2019_53091077_30.jpg,Footwear
129,53041096-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2019_53041096_OR.jpg,Jewellery
130,53065024-30,30.0,BROWN,P-PLANA,Bottoms,Skirt,2019_53065024_30.jpg,Skirts
131,51015740-99,99.0,GREY,P-PLANA,Tops,Shirt,2019_51015740_99.jpg,Shirt
132,57007697-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2019_57007697_09.jpg,Sweater
133,57007109-92,92.0,GREY,T-TRICOT,Tops,Sweater,2019_57007109_92.jpg,Sweater
134,57015926-45,45.0,GREEN,T-TRICOT,Tops,Sweater,2019_57015926_45.jpg,Sweater
135,57019209-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57019209_99.jpg,Dresses
136,51083792-15,15.0,YELLOW,P-PLANA,Bottoms,Trousers,2019_51083792_15.jpg,Trousers
137,57007902-07,7.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2019_57007902_07.jpg,T-shirt
138,57027698-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57027698_99.jpg,Dresses
139,53035770-56,56.0,BLUE,K-CIRCULAR,Tops,T-Shirt,2019_53035770_56.jpg,T-shirt
140,57027893-99,99.0,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2019_57027893_99.jpg,Dresses
141,57029604-56,56.0,BLUE,P-PLANA,Outerwear,Blazer,2019_57029604_56.jpg,Blazers
142,67010585-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2020_67010585_09.jpg,Sweater
143,47074023-01,1.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2023_47074023_01.jpg,T-shirt
144,47009026-PL,98.00999200639488,GREY,K-CIRCULAR,"Accesories, Swim and Intimate",Bikini pantie,2023_47009026_PL.jpg,Swimwear
145,57050259-56,56.0,BLUE,T-TRICOT,Tops,Sweater,2023_57050259_56.jpg,Sweater
146,57013778-88,88.0,PINK,P-PLANA,Tops,Shirt,2023_57013778_88.jpg,Shirt
147,57044397-50,50.0,BLUE,P-PLANA,Outerwear,Blazer,2023_57044397_50.jpg,Blazers
148,57000428-01,1.0,WHITE,P-PLANA,Tops,Blouse,2023_57000428_01.jpg,Shirt
149,57000451-07,7.0,WHITE,P-PLANA,Bottoms,Skirt,2023_57000451_07.jpg,Skirts
150,57006720-56,56.0,BLUE,P-PLANA,Outerwear,Coat,2023_57006720_56.jpg,Coats
151,57074012-07,7.0,WHITE,K-CIRCULAR,Tops,Blouse,2023_57074012_07.jpg,Shirt
152,57001096-02,2.0,WHITE,P-PLANA,Bottoms,Trousers,2023_57001096_02.jpg,Trousers
153,57023811-52,52.0,BLUE,T-TRICOT,Tops,Sweater,2023_57023811_52.jpg,Sweater
154,57045972-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2023_57045972_99.jpg,Footwear
155,57078265-99,99.0,GREY,P-PLANA,Outerwear,Outer vest,2023_57078265_99.jpg,Outer Vest
156,57025980-99,99.0,GREY,P-PLANA,Outerwear,Blazer,2023_57025980_99.jpg,Blazers
157,57015982-78,78.0,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57015982_78.jpg,Dresses
158,57057717-OR,4.400709219858156,WHITE,K-CIRCULAR,Outerwear,Jacket,2023_57057717_OR.jpg,Jackets
159,57006011-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_57006011_OR.jpg,Jewellery
160,57027741-20,20.0,ORANGE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Scarf,2023_57027741_20.jpg,"Hats, scarves and gloves"
161,67040288-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2024_67040288_99.jpg,Footwear
163,43045777-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Bikini top,2019_43045777_99.jpg,Swimwear
164,43027025-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_43027025_99.jpg,Footwear
165,53070584-02,2.0,WHITE,P-PLANA,Bottoms,Trousers,2019_53070584_02.jpg,Trousers
166,53020606-30,30.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53020606_30.jpg,Bags
167,53070520-52,52.0,BLUE,P-PLANA,Bottoms,Shorts,2019_53070520_52.jpg,Shorts
168,53020866-13,13.0,YELLOW,T-TRICOT,Tops,Top,2019_53020866_13.jpg,Tops
169,53063714-06,6.0,WHITE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53063714_06.jpg,Dresses
170,53080913-02,2.0,WHITE,P-PLANA,Bottoms,Skirt,2019_53080913_02.jpg,Skirts
171,53070860-05,5.0,WHITE,T-TRICOT,Tops,Sweater,2019_53070860_05.jpg,Sweater
172,53045028-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53045028_99.jpg,Bags
173,51093789-30,30.0,BROWN,P-PLANA,Outerwear,Coat,2019_51093789_30.jpg,Coats
174,53075778-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53075778_99.jpg,Dresses
175,57035904-02,2.0,WHITE,P-PLANA,Tops,Shirt,2019_57035904_02.jpg,Shirt
176,57955903-43,43.0,GREEN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Ankle Boots,2019_57955903_43.jpg,Footwear
177,53005032-TN,98.00999200639488,GREY,J-JEANS,Bottoms,Jeans,2019_53005032_TN.jpg,Jeans
178,57075941-96,96.0,GREY,T-TRICOT,Tops,Sweater,2019_57075941_96.jpg,Sweater
179,57007900-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_57007900_99.jpg,T-shirt
180,57017901-05,5.0,WHITE,T-TRICOT,Tops,Sweater,2019_57017901_05.jpg,Sweater
181,47024024-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2023_47024024_OR.jpg,Jewellery
182,47093770-TM,53.825949367088604,BLUE,J-JEANS,Outerwear,Vest,2023_47093770_TM.jpg,Vest
183,47037839-30,30.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2023_47037839_30.jpg,Jewellery
184,47037128-08,8.0,WHITE,P-PLANA,Bottoms,Skirt,2023_47037128_08.jpg,Skirts
185,57082001-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2023_57082001_99.jpg,T-shirt
186,57040780-81,81.0,PINK,P-PLANA,Bottoms,Trousers,2023_57040780_81.jpg,Trousers
187,47038650-06,6.0,WHITE,K-CIRCULAR,Tops,T-Shirt,2023_47038650_06.jpg,T-shirt
188,57002891-05,5.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57002891_05.jpg,Dresses
189,57012898-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2023_57012898_TM.jpg,Jeans
190,57034017-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Kerchief,2023_57034017_08.jpg,"Hats, scarves and gloves"
191,57041115-85,85.0,PINK,P-PLANA,Tops,Top,2023_57041115_85.jpg,Tops
192,57043803-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2023_57043803_99.jpg,Trousers
193,57093811-05,5.0,WHITE,K-CIRCULAR,Tops,Blouse,2023_57093811_05.jpg,Shirt
194,57045800-94,94.0,GREY,T-TRICOT,Tops,Cardigan,2023_57045800_94.jpg,Cardigans
195,57057752-09,9.0,WHITE,L-PIEL,Outerwear,Jacket,2023_57057752_09.jpg,Jackets
196,57088634-85,85.0,PINK,K-CIRCULAR,Tops,Top,2023_57088634_85.jpg,Tops
197,57009098-99,99.0,GREY,T-TRICOT,Tops,Sweater,2023_57009098_99.jpg,Sweater
198,41085754-09,9.0,WHITE,P-PLANA,Outerwear,Trenchcoat,2019_41085754_09.jpg,Trenchcoats
199,41085019-02,2.0,WHITE,P-PLANA,Tops,Shirt,2019_41085019_02.jpg,Shirt
200,53070609-02,2.0,WHITE,P-PLANA,Tops,Top,2019_53070609_02.jpg,Tops
201,53010608-50,50.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53010608_50.jpg,Dresses
202,53063706-56,56.0,BLUE,P-PLANA,Bottoms,Shorts,2019_53063706_56.jpg,Shorts
203,53015714-96,96.0,GREY,P-PLANA,Outerwear,Coat,2019_53015714_96.jpg,Coats
204,53053710-99,99.0,GREY,P-PLANA,Tops,Blouse,2019_53053710_99.jpg,Shirt
205,53083715-05,5.0,WHITE,T-TRICOT,Bottoms,Skirt,2019_53083715_05.jpg,Skirts
206,53040970-02,2.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53040970_02.jpg,Dresses
207,53095748-92,92.0,GREY,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53095748_92.jpg,Dresses
208,53063785-15,15.0,YELLOW,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Handbag,2019_53063785_15.jpg,Bags
209,53095735-PL,98.00999200639488,GREY,P-PLANA,Tops,Top,2019_53095735_PL.jpg,Tops
210,53085022-20,20.0,ORANGE,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2019_53085022_20.jpg,Dresses
211,53095773-08,8.0,WHITE,P-PLANA,Bottoms,Skirt,2019_53095773_08.jpg,Skirts
212,57047884-02,2.0,WHITE,P-PLANA,Tops,Blouse,2019_57047884_02.jpg,Shirt
213,57004005-15,15.0,YELLOW,P-PLANA,Bottoms,Trousers,2019_57004005_15.jpg,Trousers
214,57034384-99,99.0,GREY,P-PLANA,Tops,Blouse,2019_57034384_99.jpg,Shirt
215,57019205-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2019_57019205_99.jpg,Trousers
216,57004393-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_57004393_99.jpg,T-shirt
217,57069208-99,99.0,GREY,K-CIRCULAR,Bottoms,Trousers,2019_57069208_99.jpg,Trousers
218,57047699-37,37.0,BROWN,P-PLANA,Bottoms,Trousers,2019_57047699_37.jpg,Trousers
219,47082880-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Totes bag,2023_47082880_99.jpg,Bags
220,47015855-OR,4.400709219858156,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Necklace,2023_47015855_OR.jpg,Jewellery
221,47075862-68,68.0,PURPLE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Wallet,2023_47075862_68.jpg,Wallets & cases
222,57010046-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2023_57010046_99.jpg,Footwear
223,57010601-82,82.0,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sunglasses,2023_57010601_82.jpg,Glasses
224,57050176-99,99.0,GREY,P-PLANA,Bottoms,Trousers,2023_57050176_99.jpg,Trousers
225,57050250-30,30.0,BROWN,T-TRICOT,"Dresses, jumpsuits and Complete set",Dress,2023_57050250_30.jpg,Dresses
226,57050273-43,43.0,GREEN,P-PLANA,Tops,Top,2023_57050273_43.jpg,Tops
227,57010756-08,8.0,WHITE,P-PLANA,Bottoms,Skirt,2023_57010756_08.jpg,Skirts
228,57010293-05,5.0,WHITE,J-JEANS,Outerwear,Jacket,2023_57010293_05.jpg,Jackets
229,57010241-01,1.0,WHITE,P-PLANA,Tops,Shirt,2023_57010241_01.jpg,Shirt
230,57032883-46,46.0,BLUE,P-PLANA,Bottoms,Skirt,2023_57032883_46.jpg,Skirts
231,57040365-69,69.0,BLUE,P-PLANA,Outerwear,Blazer,2023_57040365_69.jpg,Blazers
232,57025956-37,37.0,BROWN,K-CIRCULAR,Tops,T-Shirt,2023_57025956_37.jpg,T-shirt
233,57032890-46,46.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2023_57032890_46.jpg,Dresses
234,57053800-99,99.0,GREY,K-CIRCULAR,Bottoms,Leggings,2023_57053800_99.jpg,Leggings and joggers
235,57034774-50,50.0,BLUE,P-PLANA,Tops,Shirt,2023_57034774_50.jpg,Shirt
236,57081176-PL,98.00999200639488,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2023_57081176_PL.jpg,Footwear
237,57074434-08,8.0,WHITE,P-PLANA,Bottoms,Trousers,2023_57074434_08.jpg,Trousers
