community_id,cod_modelo_color
1,57010286-99
1,47005949-05
1,57092001-CU
1,57094007-78
1,57012531-OR
1,47085855-99
1,57000249-43
1,47004029-OR
1,47097113-01
1,47024760-30
1,57010636-52
1,57042001-09
1,47068254-02
1,57095788-79
1,57071169-08
1,57000032-46
1,57040457-21
1,57010456-40
1,47036315-OR
1,57056309-99
1,57010252-05
1,57040276-99
1,47015920-20
1,57081168-OR
1,57023802-99
1,57040768-88
1,57001008-05
1,47037654-08
1,47005940-PL
1,47066314-OR
1,57020193-43
1,57001065-15
1,47009028-01
1,47014005-99
1,47005854-01
1,47067842-85
1,57073270-01
1,57050204-43
1,47054026-OR
1,57005150-56
1,57000137-99
1,47085850-OR
1,57040164-99
1,47074759-TM
1,57050107-88
1,47029604-06
1,47067662-08
1,47014031-20
1,47087828-04
1,57040133-02
1,47065840-01
1,57040730-36
1,57095962-99
1,47037829-05
1,47005943-01
1,47084028-01
1,57043804-30
1,57062526-05
1,57092886-68
1,57020035-52
1,57040163-99
1,47059203-99
1,57033812-99
1,47057141-TN
1,47037106-30
1,57024011-85
1,57010045-99
1,47037836-OR
1,47057846-99
1,57062525-46
1,57000249-85
1,57050104-01
1,57010035-CU
1,47005944-32
1,57036310-99
1,57032884-46
1,57001089-05
1,57040363-20
1,57001109-52
1,57055789-76
1,57050113-56
1,47088644-99
1,57020255-99
1,47074035-08
1,47064003-99
1,47027135-50
1,57040073-05
1,57021028-PL
1,57012005-05
1,57050452-52
1,57040292-TC
1,47014766-32
1,57010764-05
1,57040166-99
1,57000169-99
1,57020266-05
1,57040046-PL
1,57050176-20
1,47034416-80
1,47075868-70
1,57021025-02
1,47097833-OR
1,57030040-57
1,57050474-50
1,47048644-99
1,47054426-99
1,47008268-99
1,57040038-88
1,47028640-99
1,57064009-59
1,57010722-36
1,57032883-05
1,57050102-99
1,57030035-01
1,57010266-05
1,47084035-TM
1,57001059-15
1,57030033-99
1,47091297-99
1,57040028-11
1,57030409-45
1,57050184-01
1,57050028-15
1,57025794-56
1,57010718-52
1,57050253-05
1,57040302-35
1,57000159-52
1,57000254-05
1,57096031-52
1,47021252-99
1,57000256-99
1,57040288-01
1,57010277-99
1,57010034-43
1,57000281-99
1,57010200-43
1,57010644-56
1,57071174-02
1,47035849-01
1,57055793-56
1,57072506-TC
1,57050105-20
1,57040453-05
1,57010259-05
1,57010004-52
1,47037825-99
1,57000458-99
1,47094424-99
1,57010643-52
1,57042887-05
1,47048645-43
1,57092880-01
1,57082881-85
1,47036312-05
1,57010101-01
1,47015877-50
1,47024024-PL
1,57040462-20
1,57010450-88
1,57040750-33
1,57040277-99
1,57000494-99
1,57080490-20
1,47078255-01
1,57066714-46
1,57040729-99
1,57074009-99
1,57050077-99
1,57050300-99
1,57032890-46
1,47054020-99
1,57050310-99
1,57094013-05
1,57001104-12
1,57072887-99
1,57002879-TC
1,57051172-43
1,57025960-TS
1,57010632-99
1,57020215-88
1,57000374-55
1,57010031-88
1,57001101-TC
1,47084002-01
1,57050267-43
1,47085960-99
1,57050068-88
1,47005860-OR
1,57083808-69
1,57050068-32
1,57073818-65
1,57012896-84
1,57000367-99
1,57050121-02
1,57000113-05
1,47087132-08
1,57010481-52
1,57040721-52
1,57000272-99
1,47073770-TN
1,47038643-02
1,47056714-99
1,47001037-32
1,57000118-99
1,47012504-OR
1,57010620-23
1,57010465-01
1,57082001-99
1,57050035-52
1,47027878-TC
1,47085944-OR
1,57050177-70
1,57072505-30
1,47017722-CU
1,47050033-05
1,57072887-46
1,57050199-88
1,57020251-88
1,47057823-15
1,57010458-88
1,57014779-14
1,57040026-30
1,57001104-52
1,57050098-52
1,57092888-99
1,47095845-65
1,57050276-52
1,47057878-75
1,47011282-99
1,57012894-50
1,57035806-20
1,57050556-05
1,57010042-05
1,57000146-08
1,57010282-81
1,47005930-99
1,47027133-05
1,57001103-50
1,57062001-85
1,57042002-52
1,47012524-OR
1,47038631-99
1,47015919-01
1,47068650-99
1,47065916-99
1,57020033-OR
1,57010279-05
1,57050070-50
1,47083258-99
1,57010039-85
1,57050479-15
1,47091313-99
1,57050070-02
1,57040081-10
1,47004026-OR
1,57040074-88
1,47037118-05
1,47085838-01
1,57010602-82
1,57050471-05
1,47015882-TM
1,47016322-99
1,57040463-52
1,47094023-OR
1,57030004-02
1,57010270-83
1,57030029-99
1,47075968-08
1,57050301-88
1,57074778-14
1,47055949-87
1,57000205-TN
1,47077107-52
1,47057878-20
1,47101250-99
1,57072890-05
1,57054435-99
1,57040728-88
1,47017851-01
1,57010275-OR
1,57050277-99
1,57040297-99
1,47046706-99
1,57050470-01
1,57002545-OR
1,47065957-05
1,47001195-80
1,57020012-01
1,57040256-01
1,57020259-99
1,57020038-01
1,57002892-85
1,57000151-01
1,57050115-PL
1,57030259-06
1,57030254-99
1,57081169-05
1,47025952-CU
1,57040495-99
1,47009012-02
1,57040057-PL
1,57050483-99
1,57050006-68
1,57012529-PL
1,57001061-70
1,57061172-CU
1,57001121-25
1,57072503-50
1,57051083-99
1,57050488-88
1,47055850-OR
1,57023821-52
1,57072880-07
1,47035852-OR
1,57093818-52
1,47005945-80
1,47007881-01
1,57050073-88
1,47055145-99
1,57022886-69
1,57040239-83
1,57002538-OR
1,47098645-99
1,47045965-DO
1,57050114-15
1,57040689-30
1,47015918-09
1,47007650-08
1,57040750-52
1,57040034-06
1,57002882-TC
1,57061167-08
1,57040340-90
1,57040094-56
1,47001195-02
1,57073809-99
1,47018647-05
1,57001100-01
1,57050461-11
1,57010256-96
1,47095848-99
1,47076712-08
1,47088633-99
1,47024004-85
1,57050481-20
1,47035844-02
1,57093253-01
1,57062504-01
1,47046312-05
1,57031169-99
1,57035807-56
1,47036716-99
1,47055956-OR
1,47013258-05
1,57082883-46
1,47923773-DO
1,57010260-52
1,37010681-99
1,57061174-02
1,57010277-35
1,57002880-TO
1,47096325-02
1,57040048-OR
1,57020048-CU
1,57082509-05
1,57010455-81
1,57040363-01
1,57000428-01
1,57010284-02
1,57042506-32
1,57050212-43
1,57050229-01
1,57092002-52
1,47055868-99
1,57016008-OR
1,47015920-32
1,57000003-02
1,47007882-32
1,47074001-05
1,57040029-05
1,57010643-20
1,47015917-08
1,47086319-CU
1,57010037-05
1,57040314-12
1,57030033-08
1,47004034-CU
1,47025867-81
1,47075849-02
1,57002540-OR
1,47055866-50
1,57042892-02
1,47027888-08
1,57040460-OR
1,57040260-99
1,57050262-69
1,57040086-12
1,57030012-30
1,47007651-08
1,57082878-05
1,57003777-65
1,57050273-52
1,57050307-45
1,57050470-88
1,57092886-46
1,57004020-94
1,57093811-05
1,57094387-99
1,57050467-12
1,57030494-52
1,57082506-TC
1,47055874-50
1,47055950-PL
1,57072001-37
1,57031177-05
1,57010465-99
1,57010283-TM
1,57040318-20
1,47010150-99
1,47077108-06
1,57010014-37
1,57050277-01
1,57094021-99
1,57012886-91
1,57010636-56
1,47018650-99
1,57040699-14
1,47014024-OR
1,57010317-85
1,47034012-02
1,47075877-01
1,47005874-01
1,57001057-56
1,57050185-TC
1,57000003-43
1,57084406-43
1,57050265-99
1,57050472-BL
1,47085870-TC
1,57050034-52
1,47058637-99
1,47037839-30
1,47069202-65
1,57000161-01
1,57010734-99
1,47012502-99
1,47057122-08
1,57062503-46
1,47084432-05
1,47032882-PL
1,47077833-OR
1,47055866-02
1,47008652-99
1,57074007-99
1,57040452-52
1,37095905-56
1,57000285-26
1,57050011-43
1,57001026-02
1,47078639-20
1,57010494-80
1,57050228-20
1,57020217-20
1,57050011-02
1,47047835-05
1,47034034-01
1,57042526-81
1,57002537-OR
1,57082888-88
1,57050483-50
1,57050054-43
1,57022888-02
1,57000002-87
1,47012523-OR
1,57001026-99
1,47044027-05
1,47037133-02
1,47013256-TC
1,57044015-05
1,57050471-15
1,47047826-40
1,47005922-CU
1,47087105-01
1,57022890-85
1,47047109-01
1,57020155-84
1,57050482-20
1,57022891-01
1,57050459-99
1,57040273-99
1,47004377-01
1,57020453-15
1,47045849-01
1,57040072-52
1,57040464-99
1,57062511-50
1,57074011-85
1,57050157-TM
1,57000455-88
1,57032887-99
1,57023810-02
1,47013651-99
1,47026326-02
1,47005752-32
1,57010278-01
1,57042506-26
1,57050464-88
1,57000374-99
1,47087833-OR
1,57040078-88
1,47017123-99
1,57000225-88
1,57050308-OR
1,57020030-05
1,47067107-08
1,57030199-52
1,47039037-20
1,47005921-99
1,57050033-52
1,47015857-OR
1,57050106-88
1,47004028-PL
1,47077842-85
1,47088639-08
1,37000577-30
1,47067109-40
1,47035839-20
1,57041086-88
1,47067108-99
1,57062506-77
1,57050260-02
1,57050181-68
1,57050030-01
1,57084013-05
1,57010424-02
1,57050032-08
1,57083811-37
1,57032507-32
1,57022001-17
1,47097119-TN
1,57020379-OR
1,57000168-99
1,57050266-05
1,47048639-01
1,47056304-TC
1,47035870-TM
1,57040277-35
1,47025146-PL
1,47005921-CU
1,57050249-43
1,57042001-85
1,47005851-OR
1,57081166-05
1,57010043-57
1,57000167-68
1,47023255-15
1,57040085-65
1,57000255-52
1,47050106-99
1,57010754-70
1,57020254-05
1,57000163-DC
1,57050310-08
1,47037826-99
1,57072878-TC
1,47022523-OR
1,57000287-01
1,57050228-02
1,57040366-01
1,57064007-52
1,57050265-05
1,57000280-02
1,47056314-OR
1,57000769-08
1,47057839-01
1,47005934-32
1,47061316-99
1,47015923-02
1,47003277-TN
1,57044011-52
1,47005933-TC
1,57031169-88
1,47026304-06
1,57054773-50
1,57010252-87
1,57040272-17
1,57010898-01
1,57064010-TC
1,57000002-02
1,57053799-46
1,57010644-02
1,57084007-99
1,57030255-99
1,57010292-07
1,57081171-02
1,57000352-52
1,47007135-05
1,57050254-99
1,57074401-56
1,47067132-02
1,47063254-43
1,57082887-07
1,57040818-87
1,57000342-TC
1,47022883-CU
1,57012885-01
1,57072881-05
1,47075937-05
1,57054389-99
1,47035914-09
1,57032885-99
1,57040728-36
1,47097122-TN
1,57050453-15
1,47046706-CU
1,57055805-74
1,57093799-76
1,57062510-45
1,57024764-05
1,47017132-TC
1,57044014-05
1,57040260-05
1,47087824-09
1,47050151-05
1,57032885-07
1,57066308-05
1,47068647-99
1,57025957-11
1,57030028-59
1,57000438-OR
1,57050303-09
1,47075965-99
1,57000137-83
1,47022522-OR
1,57040250-20
1,57010731-99
1,57020257-99
1,47036316-PL
1,57000165-99
1,47044759-02
1,57040297-43
1,57050245-99
1,47087877-99
1,57040749-33
1,47015884-DI
1,57082880-07
1,57030982-PL
1,57050344-TC
1,57023797-56
1,57090762-37
1,57000316-99
1,57050188-05
1,57040811-87
1,57062503-10
1,57081174-05
1,57050278-01
1,47084391-99
1,57040813-16
1,57050481-52
1,57050246-20
1,57050177-52
1,47029028-02
1,57030247-01
1,57000169-02
1,57050213-11
1,57000033-01
1,47044025-OR
1,57010030-30
1,57030259-46
1,47064042-OR
1,57001110-01
1,57010317-50
1,47077822-52
1,37010741-37
1,57040037-20
1,57050032-99
1,47087124-DC
1,47939042-88
1,57061172-OR
1,57064012-85
1,57002895-88
1,47003278-TO
1,57012004-08
1,57020252-52
1,57050275-99
1,57050054-88
1,57050256-99
1,57001059-99
1,57010044-88
1,57040080-08
1,47065145-30
1,47075838-05
1,57040254-05
1,47027837-OR
1,57067719-43
1,57012003-87
1,57094012-05
1,47095948-56
1,47004011-02
1,57083796-05
1,57071114-43
1,57050101-52
1,57040458-20
1,57010041-99
1,47097819-CU
1,57035790-02
1,57050299-43
1,57062504-56
1,57010735-08
1,57042885-99
1,47028651-99
1,47067881-05
1,57062881-01
1,57040776-36
1,57082883-68
1,57030005-01
1,57050262-01
1,47062533-02
1,47037835-OR
1,47013257-99
1,47073771-TM
1,47024005-99
1,47032878-99
1,57010454-40
1,57050312-05
1,47009028-99
1,57040028-05
1,57000156-02
1,57092879-05
1,57040278-99
1,47064414-99
1,57010628-43
1,57041174-01
1,57001111-02
1,57010726-36
1,57010644-70
1,57040279-07
1,57054015-99
1,57010287-01
1,57030256-99
1,57012508-99
1,47065882-99
1,47057120-TM
1,47067665-99
1,57053796-05
1,57000377-OR
1,57050163-88
1,57050044-OR
1,47015845-99
1,57050305-28
1,57001007-05
1,57091175-PL
1,47004378-26
1,57082881-56
1,47093770-TM
1,47025854-OR
1,57010737-36
1,57000180-01
1,47087121-10
1,57050158-TN
1,57052882-46
1,47005777-30
1,57050322-68
1,57072503-02
1,47095859-99
1,57000494-80
1,57040214-52
1,57033809-61
1,57050043-PL
1,47047131-05
1,57032889-99
1,57051176-02
1,57010601-82
1,57021025-14
1,57050249-99
1,57010719-02
1,47025853-OR
1,57050454-88
1,57082879-02
1,57040035-01
1,57010628-83
1,47039047-02
1,57043804-99
1,57050312-99
1,57071177-06
1,57010719-52
1,57023803-99
1,57010714-14
1,57052001-05
1,57020242-01
1,57050006-99
1,57090025-02
1,47078255-99
1,57020152-01
1,57000271-99
1,57020215-55
1,57040600-32
1,57051174-85
1,57000180-84
1,57012512-08
1,57034425-TL
1,57062888-52
1,47088647-99
1,57040282-07
1,47037720-CU
1,57002892-99
1,57050274-20
1,47099203-05
1,57043808-52
1,47074023-99
1,47034417-OR
1,57050162-01
1,57033805-52
1,57050077-40
1,57040165-02
1,57040070-OR
1,57010494-99
1,47004002-30
1,47025918-99
1,57053801-43
1,47025841-20
1,57030086-85
1,57074396-65
1,57050451-OR
1,57040780-81
1,57050250-30
1,57010720-70
1,57002539-OR
1,57052893-99
1,57020047-99
1,57050275-01
1,57034407-65
1,47038651-99
1,47087881-50
1,57040315-17
1,57022001-05
1,57000113-46
1,57010613-99
1,57050037-OR
1,57050484-02
1,57010460-99
1,57054415-05
1,47005857-OR
1,47088255-37
1,57044010-59
1,57057762-70
1,57050468-52
1,47027877-01
1,47065961-05
1,57050068-20
1,47014026-OR
1,57061167-01
1,57072887-90
1,57050165-99
1,47021295-99
1,57050272-99
1,57000030-59
1,57040044-OR
1,47015923-99
1,57002519-52
1,57022528-PL
1,57010078-43
1,57000280-40
1,47087140-DC
1,57001095-01
1,57040463-99
1,57042885-01
1,57040314-52
1,47074026-05
1,47032878-02
1,47037128-08
1,57050283-02
1,57092504-99
1,57001109-99
1,57090762-99
1,47091259-99
1,57050091-08
1,57010207-52
1,57020037-01
1,47008268-01
1,57040084-43
1,47064758-02
1,47001195-99
1,57020256-88
1,57000580-05
1,47047141-02
1,57023796-65
1,57012888-70
1,57050026-11
1,57030002-20
1,57010252-81
1,47076306-TN
1,57041115-85
1,47095837-05
1,57083799-20
1,57040749-52
1,57041000-PL
1,47085859-99
1,57094010-05
1,47085851-99
1,47027134-02
1,57083799-99
1,57092891-01
1,57050011-87
1,47087136-52
1,57050080-52
1,57020363-OR
1,47005947-80
1,37050118-PL
1,47074432-99
1,57030029-05
1,57012511-99
1,57092883-07
1,57040320-99
1,57050180-08
1,47032521-OR
1,57050467-52
1,57062891-88
1,57040132-99
1,57050230-56
1,47092523-OR
1,57030254-01
1,57001168-01
1,57001065-01
1,47014026-PL
1,57041025-99
1,57065791-76
1,57040310-02
1,57040312-99
1,57040031-12
1,57050245-20
1,47075971-05
1,47095844-02
1,47065145-99
1,47005864-52
1,47075937-40
1,47013269-TO
1,57040069-OR
1,57011105-01
1,47037654-99
1,47015845-52
1,57040317-02
1,57010251-30
1,57062505-30
1,57040253-85
1,57042892-85
1,47027131-01
1,57024008-02
1,57050161-01
1,57040161-TC
1,57002524-CU
1,47017852-01
1,57030003-08
1,57006019-OR
1,47004031-OR
1,57032523-CU
1,57040326-88
1,57022891-99
1,57042510-05
1,57050103-20
1,47024433-80
1,47054027-15
1,57040267-52
1,57050464-12
1,47023268-TN
1,57050213-05
1,57050276-87
1,47034001-99
1,57030463-52
1,57010290-TN
1,47092530-99
1,57010753-CO
1,57002541-PL
1,57010760-56
1,47034405-TM
1,47040358-OR
1,57001059-56
1,57040261-28
1,57000206-43
1,57030037-01
1,57092505-10
1,57010037-99
1,57029404-55
1,87040069-OR
1,57020039-TC
1,57010603-99
1,87097665-99
1,47062519-OR
1,57040045-PL
1,57032889-46
1,57001096-02
1,47065948-99
1,57020259-31
1,57001133-25
1,47045851-OR
1,57000374-20
1,57082884-05
1,57010081-52
1,47085837-05
1,57010034-08
1,57020028-70
1,57050272-17
1,57050271-OR
1,57074011-52
1,47005935-99
1,57030007-05
1,47095838-99
1,47067843-52
1,47061313-TO
1,47044763-OR
1,57020255-88
1,57001067-02
1,57040293-02
1,47093774-99
1,57020046-99
1,47077105-01
1,57040689-14
1,57000206-99
1,57082885-50
1,57040033-82
1,57011171-05
1,57000152-52
1,57042507-TC
1,47086303-08
1,47034043-TM
1,47074758-99
1,57040272-99
1,47055839-99
1,47067664-88
1,47092530-31
1,37010684-99
1,47026304-32
1,57020032-80
1,57044008-91
1,57072881-46
1,57050268-99
1,57040296-99
1,57020045-PL
1,47010105-99
1,47004377-99
1,57002887-05
1,47007734-CU
1,57090027-99
1,47034759-99
1,57010636-05
1,47045852-01
1,47087123-05
1,47005775-05
1,57004013-59
1,47034034-52
1,57040274-OR
1,57000030-68
1,57062882-46
1,57050036-08
1,57040704-52
1,57010763-99
1,47054030-99
1,57001132-02
1,57092506-TC
1,57050120-84
1,57082505-30
1,47095840-02
1,47017134-30
1,57040318-01
1,57050069-40
1,47071287-OR
1,57092890-79
1,57082001-43
1,57030034-20
1,57064007-01
1,47046315-OR
1,57010289-01
1,57010276-99
1,57050479-20
1,47001188-99
1,47095850-OR
1,57030254-88
1,47075944-99
1,47083267-TM
1,57020268-05
1,47065858-CU
1,47015849-40
1,57050112-05
1,47075864-32
1,47025842-88
1,57050109-40
1,57040321-12
1,57021175-85
1,57000286-52
1,47050085-99
1,47087884-05
1,47097821-99
1,47004026-PL
1,57010636-99
1,47074006-52
1,57035806-74
1,47047105-50
1,57010316-02
1,47043772-TO
1,57050184-43
1,57000258-81
1,57082001-37
1,57040170-99
1,47036305-BL
1,47027838-OR
1,57000150-56
1,47098643-01
1,57050298-99
1,47057823-99
1,47074002-99
1,57040133-56
1,57050269-88
1,57010333-BL
1,47051280-05
1,57082001-68
1,47077126-08
1,57000034-99
1,57054402-49
1,57074401-99
1,47038650-06
1,57050121-56
1,57040296-70
1,57040172-88
1,57010714-30
1,57001059-01
1,47085848-TM
1,47087877-01
1,57050282-05
1,57084402-08
1,57040780-40
1,57001098-01
1,57010082-20
1,57010282-20
1,57014427-78
1,57050251-43
1,47026305-08
1,57030150-81
1,47058631-05
1,57050251-88
1,57001065-70
1,47017120-05
1,57010263-88
1,57031501-52
1,57001065-99
1,57092502-PL
1,47078647-99
1,57050176-99
1,47024024-OR
1,47011308-TM
1,57080977-52
1,47032501-32
1,57032001-05
1,47026321-07
1,57010257-01
1,57001027-14
1,57050487-01
1,57040312-05
1,57022886-99
1,47018645-05
1,57050118-OR
1,57000451-07
1,57010481-20
1,57024767-56
1,57040275-OR
1,47037834-OR
1,57040049-68
1,57085788-79
1,57040276-30
1,47067136-08
1,57082505-99
1,57052882-99
1,57001083-07
1,47000189-PL
1,57010644-15
1,57040075-88
1,57043805-99
1,57073802-99
1,57002517-50
1,57000900-01
1,57010278-99
1,57032883-46
1,57010291-TC
1,57040155-52
1,57010756-08
1,47015868-99
1,57000580-30
1,57050288-99
1,57050047-30
1,57071177-52
1,57040132-83
1,47061508-01
1,47010422-99
1,57050482-43
1,57052512-50
1,47085961-05
1,57040162-07
1,57022881-50
1,47005919-CU
1,47077885-TN
1,47037877-37
1,47045949-99
1,57010951-05
1,57050230-52
2,51021143-20
2,51091106-20
2,53071140-23
2,53001120-20
2,53051142-20
2,43055769-99
2,53045033-43
2,53041116-20
2,53011121-70
2,51041107-70
2,51091106-12
3,53053756-43
3,41027798-50
3,51005035-79
3,53070530-07
3,53040644-37
3,53003732-20
3,51040592-99
3,51050835-74
3,53050903-41
3,53168831-TO
3,53050722-28
3,43090725-32
3,53030663-15
3,53060665-PL
3,53030573-02
3,41085028-20
3,53003739-91
3,51061037-70
3,43053737-OR
3,43025732-02
3,51003746-85
3,53080916-TM
3,53003717-31
3,57015926-45
3,57016305-37
3,53090600-08
3,43005036-99
3,53020602-15
3,57095937-99
3,53090906-02
3,43063724-OR
3,43053725-OR
3,53090751-OR
3,51013711-52
3,43077738-99
3,43073737-OR
3,51000622-70
3,53060600-99
3,43069088-08
3,53030840-56
3,53070602-TO
3,53010841-99
3,53060802-37
3,57003650-11
3,53053764-02
3,53090622-50
3,53060910-70
3,51060662-70
3,53063743-32
3,53030920-70
3,51001127-99
3,53083714-02
3,51090613-01
3,53083733-70
3,51097031-99
3,43005025-PL
3,43045796-08
3,53081146-30
3,43083732-99
3,43060804-OR
3,53000926-56
3,53060824-99
3,51080613-11
3,51000637-02
3,53050624-01
3,51000637-37
3,53070634-02
3,53000755-30
3,53071016-43
3,53090614-31
3,43045788-28
3,53030613-07
3,53063042-85
3,43047042-07
3,53040524-02
3,53025025-05
3,43065782-61
3,53080975-08
3,51070618-99
3,53030665-02
3,53030780-56
3,53000671-01
3,53013754-PL
3,43095030-02
3,53030621-18
3,51090485-70
3,51010936-02
3,53070906-13
3,53070688-74
3,53070745-99
3,53050600-01
3,51013750-37
3,53030601-56
3,51040889-08
3,53050548-99
3,51090485-25
3,53051096-11
3,53063706-56
3,53080586-56
3,43003725-TN
3,43037739-05
3,53050730-56
3,51063733-49
3,51063704-92
3,53050730-15
3,53010619-02
3,43015013-08
